File Name,File ID,Structure,Record Size,Record Size Co,Record Num,Transparent File Size,Transparent File Size Co,Read,Update,Deactivate,Activate,Increase,SFI
EF_LI,6F05,T,,,,2,n,ALW,PIN,ADM,ADM,,2
EF_IMSI,6F07,T,,,,9,1,PIN,ADM,ADM,ADM,,7
EF_KEYS,6F08,T,,,,33,1,PIN,PIN,ADM,ADM,,8
EF_KeysPS,6F09,T,,,,33,1,PIN,PIN,ADM,ADM,,9
EF_PLMNwACT,6F60,T,,,,5,n,PIN,PIN,ADM,ADM,,0A
EF_HPPLMN,6F31,T,,,,1,1,PIN,ADM,ADM,ADM,,12
EF_ACMmax,6F37,T,,,,3,1,PIN/PIN2,PIN,ADM,ADM,,0
EF_UST,6F38,T,,,,,,PIN,ADM,ADM,ADM,,4
EF_ACM,6F39,C,3,1,,,,PIN,PIN/PIN2,ADM,ADM,PIN,0
ED_GID1,6F3E,T,,,,,,PIN,ADM,ADM,ADM,,0
EF_GID2,6F3F,T,,,,,,PIN,ADM,ADM,ADM,,0
EF_SPN,6F46,T,,,,17,1,ALW,ADM,ADM,ADM,,0
EF_PUCT,6F41,T,,,,5,1,PIN,PIN/PIN2,ADM,ADM,,0
EF_CBMI,6F45,T,,,,2,n,PIN,PIN,ADM,ADM,,0
EF_ACC,6F78,T,,,,2,1,PIN,ADM,ADM,ADM,,6
EF_FPLMN,6F7B,T,,,,3,n,PIN,PIN,ADM,ADM,,0D
EF_LOCI,6F7E,T,,,,11,1,PIN,PIN,ADM,ADM,,0B
EF_AD,6FAD,T,,,,4+,1,ALW,ADM,ADM,ADM,,0
EF_CBMID,6F48,T,,,,2,n,PIN,ADM,ADM,ADM,,0E
EF_ECC,6FB7,L,4+,1,,,,ALW,ADM,ADM,ADM,,1
EF_CBMIR,6F50,T,,,,4,n,PIN,PIN,ADM,ADM,,0
EF_PSLOCI,6F73,T,,,,14,1,PIN,PIN,ADM,ADM,,0C
EF_FDN,6F3B,L,14+,1,,,,PIN,PIN2,ADM,ADM,,0
EF_SMS,6F3C,L,176,1,,,,PIN,PIN,ADM,ADM,,0
EF_MSISDN,6F40,L,14+,1,,,,PIN,PIN/ADM,ADM,ADM,,0
EF_SMSP,6F42,L,28+,1,,,,PIN,PIN,ADM,ADM,,0
EF_SMSS,6F43,T,,,,2+,,PIN,PIN,ADM,ADM,,0
EF_SDN,6F49,L,14+,1,,,,PIN,ADM,ADM,ADM,,0
EF_EXT2,6F4B,L,13,1,,,,PIN,PIN2,ADM,ADM,,0
EF_EXT3,6F4C,L,13,1,,,,PIN,ADM,ADM,ADM,,0
EF_SMSR,6F47,L,30,1,,,,PIN,PIN,ADM,ADM,,0
EF_ICI,6F80,C,28+,1,,,,PIN,PIN,ADM,ADM,,14
EF_OCI,6F81,C,27+,1,,,,PIN,PIN,ADM,ADM,,15
EF_ICT,6F82,C,3,1,,,,PIN,PIN/PIN2,ADM,ADM,PIN,0
EF_OCT,6F83,C,3,1,,,,PIN,PIN/PIN2,ADM,ADM,PIN,0
EF_EXT5,6F4E,L,13,1,,,,PIN,PIN,ADM,ADM,,0
EF_CCP2,6F4F,L,15+,1,,,,PIN,PIN,ADM,ADM,,16
Ef_eMLPP,6FB5,T,,,,2,1,PIN,ADM,ADM,ADM,,0
EF_AAeM,6FB6,T,,,,1,1,PIN,PIN,ADM,ADM,,0
EF_HiddenKey,6FC3,T,,,,4,1,PIN,PIN,ADM,ADM,,0
EF_BDN,6F4D,L,15+,1,,,,PIN,PIN2,ADM,ADM,,0
EF_EXT4,6F55,L,13,1,,,,PIN,PIN2,ADM,ADM,,0
EF_CMI,6F58,L,1+,1,,,,PIN,ADM,ADM,ADM,,0
EF_EST,6F56,T,,,,,,PIN,PIN2,ADM,ADM,,5
EF_ACL,6F57,T,,,,,,PIN,PIN2,ADM,ADM,,0
EF_DCK,6F2C,T,,,,16,1,PIN,PIN,ADM,ADM,,0
EF_CNL,6F32,T,6,n,,,,PIN,ADM,ADM,ADM,,0
EF_START-HFN,6F5B,T,,,,6,1,PIN,PIN,ADM,ADM,,0F
EF_THRESHOLD,6F5C,T,,,,3,1,PIN,ADM,ADM,ADM,,10
EF_OPLMNwACT,6F61,T,,,,5,n,PIN,ADM,ADM,ADM,,11
EF_HPLMNwACT,6F62,T,,,,5,n,PIN,ADM,ADM,ADM,,13
EF_ARR,6F06,L,,,,,,ALW,ADM,ADM,ADM,,17
EF_NETPAR,6FC4,T,,,,46+,,PIN,PIN,ADM,ADM,,0
EF_PNN,6FC5,L,19,1,,,,ALW,ADM,ADM,ADM,,19
EF_OPL,6FC6,L,8+,1,,,,ALW,ADM,ADM,ADM,,1A
EF_MBDN,6FC7,L,14+,1,,,,PIN,PIN/ADM,ADM,ADM,,0
EF_EXT6,6FC8,L,13,,,,,PIN,PIN/ADM,ADM,ADM,,0
EF_MBI,6FC9,L,,,,,,PIN,PIN/ADM,ADM,ADM,,0
EF_MWIS,6FCA,L,,,,,,PIN,PIN,ADM,ADM,,0
EF_CFIS,6FCB,L,16,1,,,,PIN,PIN,ADM,ADM,,0
EF_EXT7,6FCC,L,13,1,,,,PIN,PIN,ADM,ADM,,0
EF_SPDI,6FCD,T,,,,,,PIN,ADM,ADM,ADM,,1B
EF_MMSN,6FCE,L,4+,,,,,PIN,PIN,ADM,ADM,,0
EF_EXT8,6FCF,L,2+,,,,,PIN,PIN,ADM,ADM,,0
EF_MMSICP,6FD0,T,,,,,,PIN,ADM,ADM,ADM,,0
EF_MMSUP,6FD1,L,,,,,,PIN,PIN,ADM,ADM,,0
EF_MMSUCP,6FD2,T,,,,,,PIN,PIN/PIN2,ADM,ADM,,0
EF_NIA,6FD3,L,1+,,,,,PIN,ADM,ADM,ADM,,0
EF_VGCS,6FB1,T,,,,5,n,PIN,ADM,ADM,ADM,,0
EF_VGCSS,6FB2,T,,,,7,1,PIN,ADM,ADM,ADM,,0
EF_VBS,6FB3,T,,,,4,n,PIN,ADM,ADM,ADM,,0
EF_VBSS,6FB4,T,,,,7,1,PIN,ADM,ADM,ADM,,0
